SPREAD,H,MAT,SAG,BIL,COL,MAS,DUN,REC,LV
38,1,87,87,80,96,86,84,66.66667,25
-3,1,59,60,77,85,70,61,60.90909,27
6,1,60,60,59,71,62,71,50,19
4,1,41,45,40,50,36,21,33.33333,7.5
3,1,5,3,-4,-5,6,14,-3.33333,9.5
-6,1,30,25,19,33,28,16,20,8.5
11,1,11,18,12,15,12,8,2.72727,3.5
19,1,83,80,67,77,72,57,51.81818,28
14,-1,11,8,2,12,13,18,-3.33333,-2.5
21,1,44,44,27,26,39,51,5.55556,20.5
-15,-1,73,66,61,61,74,54,46.46465,8
3,1,-12,-7,5,-12,-10,-26,0,-5
20,1,60,65,78,66,63,82,50,24
22,1,25,24,15,31,21,29,20,11
-8,-1,27,34,53,54,41,29,44.44444,3
35,1,1,6,-21,-11,8,-15,-18.88889,-3
16,1,48,53,57,56,48,54,33.63636,26.5
-5,1,-7,-4,4,-2,-3,-40,11.11111,2.5
-6,-1,23,14,21,45,12,-1,33.33333,-3
6,-1,17,19,26,17,26,26,14.44444,4.5
12,-1,53,59,52,63,57,43,50,18
-11,-1,34,28,28,35,32,20,15.45455,3
3,1,11,19,43,-7,15,25,-10,10.5
-7,1,1,8,3,4,11,-10,-2.5,2.5
-4,-1,28,28,16,38,27,24,13.63636,4.5
13,-1,-14,-17,-2,-8,-8,-21,-4.44444,-7.5
21,1,14,9,-10,20,25,13,25.55556,7.5
31,1,32,43,25,34,41,62,20,27.5
53,1,23,23,27,9,25,31,4.54545,10.5
-17,-1,37,34,38,51,38,25,39.39394,5.5
2,-1,1,-1,-8,7,3,-5,5.55556,-3.5
13,1,17,12,16,19,15,7,0,4.5
-4,1,14,21,18,12,15,14,10,10
49,1,22,16,39,17,21,21,10,18.5
3,1,24,28,25,17,30,27,10,16.5
10,-1,20,18,9,4,8,27,-20,12
17,-1,13,11,3,15,12,11,0,4.5
2,-1,26,27,15,25,25,18,20,14
-2,1,4,6,3,-2,4,8,0,17.5
2,0,-4,-4,-6,-1,-3,-3,-9.09091,-7.5
3,1,38,38,26,51,39,18,40,10.5
27,-1,88,89,90,88,88,71,52.72727,19.5
13,1,12,11,4,-2,8,39,0,7
49,1,75,70,49,78,70,54,43.33333,22.5
28,1,95,91,92,94,97,97,70,32.5
11,1,10,19,7,12,15,19,-3.63636,10.5
10,1,38,45,36,46,48,32,20,10.5
3,-1,53,57,60,64,61,38,70,5
13,1,19,8,14,3,4,13,-16.66667,6.5
9,1,60,65,53,49,58,65,14.54545,24
-5,-1,30,34,3,22,46,33,10.90909,3
-1,-1,60,61,20,60,56,54,24.54545,16.5
11,1,45,49,44,56,50,36,40,16
6,-1,-6,-12,-24,-27,-9,3,-20,-2.5
48,1,12,6,30,11,13,12,10,7.5
-6,-1,42,39,16,47,47,50,13.63636,5.5
28,1,55,61,68,58,53,56,50,27
18,1,15,9,15,8,16,24,-10,7
11,1,31,36,47,26,38,32,20,6.5
2,1,10,13,20,10,12,-1,10,5
32,1,33,30,49,36,38,43,40,26
9,1,5,11,3,9,5,-2,20,1.5
-11,0,15,19,16,16,16,12,18.18182,6.5
-27,-1,40,45,49,30,51,30,27.27273,3
-2,1,17,25,-17,7,24,36,10,10
23,0,1,2,1,1,1,4,8.33333,8.5
33,0,11,9,-2,2,6,13,-9.09091,15.5
-22,0,1,2,-1,-2,3,6,-7.57576,3
4,0,13,21,5,6,14,28,10.60606,13
28,0,9,9,15,14,8,8,10.60606,3.5
7,0,23,28,13,15,23,23,19.69697,13
-13,0,3,6,8,7,6,-10,15.90909,-2
-10,0,34,26,19,38,30,20,23.48485,5
6,0,39,40,41,32,34,29,27.27273,8
23,0,-2,-6,20,14,11,-12,20.45455,-5.5
-9,0,29,31,18,43,29,8,30.06993,5
-4,0,10,16,14,18,13,15,9.09091,4
13,0,3,8,-3,2,-1,-5,-9.09091,-2
3,0,5,7,1,12,8,-12,9.09091,1
-3,0,18,14,33,18,12,30,9.09091,1
-18,0,11,10,13,5,10,9,8.97436,-3
-4,0,19,11,40,5,8,45,-9.09091,3.5
19,0,52,45,12,31,46,37,9.09091,6
1,0,1,-4,5,-3,-1,19,-9.09091,6.5
6,0,-2,10,-12,-11,-1,25,-5.30303,2.5
3,0,19,24,18,42,31,-12,28.78788,-2
-15,0,22,15,13,14,14,11,9.09091,0
7,0,24,21,19,29,26,-2,18.18182,4
25,0,9,6,26,-4,4,34,-9.09091,6.5
25,0,40,34,40,37,33,30,9.09091,12
3,1,-5,-7,-14,-29,-6,-3,-25,-6.5
22,-1,8,32,54,6,32,59,0,15.5
32,1,25,39,26,20,42,7,20,14.5
7,-1,-55,-31,-14,-72,-35,-14,-75,-8
-49,1,-29,-15,-10,-29,-16,-4,-25,3
-11,-1,-34,-4,-9,-17,-5,-16,-25,-4.5
-8,-1,7,-20,-7,27,-22,-22,-10,-10.5
-6,-1,-47,-36,-26,-13,-28,-42,0,-11.5
7,1,-42,-26,-31,-33,-10,-32,-25,-2.5
-1,-1,22,18,29,46,22,21,20,-1.5
7,1,-23,-7,4,-53,-4,-6,-50,6
3,-1,48,51,30,23,47,42,13.33333,7.5
22,1,61,81,70,55,78,79,40,31
3,-1,30,32,38,58,35,28,40,2.5
39,-1,57,76,66,49,76,64,50,23.5
3,1,-3,21,17,-7,24,10,-25,9.5
28,1,7,25,42,45,32,33,30,21
24,1,34,39,37,39,37,15,8.33333,19
16,-1,19,22,14,17,26,17,40,1.5
21,-1,39,23,14,12,23,4,0,-1
-16,1,3,-11,-19,7,-16,-14,0,7
52,1,46,58,70,25,58,70,10,28.5
-7,-1,4,1,-4,11,4,2,25,-1
-20,1,-27,-17,12,-51,-6,-3,-30,7
-7,-1,-6,-22,-18,10,-21,-30,0,-21.5
-20,-1,-106,-105,-65,-93,-96,-86,-100,-38.5
5,1,-58,-63,-63,-75,-66,-33,-75,-8.5
25,1,64,64,70,67,77,66,75,26
-6,1,-56,-38,-41,-56,-36,-48,-40,-8
28,-1,60,60,47,52,48,61,60,18
-9,-1,-12,-11,-17,-13,-20,-40,-26.66667,-7
-19,-1,-37,-44,-16,-55,-42,-10,-30,-4.5
3,1,36,55,57,29,54,39,25,19
-28,-1,-14,-5,18,-3,3,9,-5,1
-7,1,-19,-17,-13,-15,-12,-9,-20,-10.5
-7,-1,47,52,15,32,42,35,15,6.5
-5,1,44,44,36,45,44,26,60,27.5
-14,-1,-34,-16,-7,17,-8,-3,25,-3
20,1,55,43,53,61,41,33,50,7
-20,-1,4,5,-1,-13,11,-27,10,-4
17,1,17,15,6,2,14,1,0,5
31,1,32,19,16,16,13,38,25,21
3,-1,-9,-13,-8,-21,-12,-2,-20,-4
14,1,26,53,29,54,43,12,75,16
12,1,49,39,43,47,39,10,35,13
-25,1,-47,-48,-37,-45,-41,-44,-40,-1.5
34,-1,3,3,27,-8,2,21,-20,-3
19,1,12,-3,-13,7,-6,-9,0,4.5
1,-1,37,47,40,46,48,26,50,20.5
22,1,54,38,25,36,34,42,20,31
33,-1,16,9,-5,14,6,13,0,3
53,-1,50,59,50,36,50,44,16.66667,20
31,1,5,6,7,-5,8,4,0,8
-14,1,8,5,7,-17,2,20,-40,1
11,-1,29,17,35,26,18,46,20,0
10,-1,6,-4,-7,6,-5,-2,0,-8.5
31,1,-5,13,28,21,18,1,43.33333,13
-21,-1,-59,-64,-46,-54,-65,-67,-60,-32.5
-32,-1,-38,-27,-12,-36,-26,-32,-40,-9
-6,-1,-60,-55,-47,-42,-53,-24,-20,-12.5
34,1,-15,-5,23,8,-2,23,16.66667,4.5
58,1,16,37,32,36,39,15,26.66667,16
-7,-1,-4,4,-21,4,7,-19,0,0
10,1,67,69,55,59,68,71,46.66667,21.5
49,1,95,101,85,97,101,95,83.33333,48.5
28,1,18,32,38,12,27,55,20,21.5
-8,-1,79,62,66,87,65,54,60,10
20,1,21,22,-1,15,16,11,3.33333,7
6,-1,23,18,14,19,16,16,0,6
-12,1,47,45,30,44,41,2,33.33333,13.5
14,1,48,37,25,44,35,49,30,6.5
24,-1,40,53,59,37,52,63,20,27
38,1,-8,-10,9,-32,-16,8,-40,4.5
-18,1,-35,-40,-15,-28,-31,-28,-20,1.5
-42,-1,-31,-33,5,-49,-29,1,-43.33333,-7
7,-1,69,54,11,70,52,22,40,6
15,1,-3,-15,9,-1,-12,9,-16.66667,1.5
32,1,73,80,58,65,77,60,60,25
14,-1,-14,-7,1,-8,-10,2,0,4.5
-14,-1,-24,-25,-23,-40,-22,-10,-33.33333,-13.5
31,0,74,78,76,81,77,76,60,19.5
-7,1,-15,-16,-8,-12,-9,-29,10,-3
13,-1,-23,-14,8,-31,-13,-12,-16.66667,3.5
1,1,-3,19,37,17,28,14,20,7
34,1,-4,-2,7,-3,2,-1,16.66667,6
21,1,75,65,50,79,62,60,60,24.5
32,-1,61,59,67,27,62,80,20,14
28,1,17,17,7,13,19,33,23.33333,18
17,-1,16,22,-17,-6,9,20,-6.66667,1
-21,1,40,35,27,8,29,3,0,6.5
4,1,-26,-20,-22,-30,-31,-18,-6.66667,-3
-37,1,-56,-40,-26,-35,-39,-31,-33.33333,-11
17,-1,50,45,42,71,46,23,63.33333,15
34,-1,8,7,17,12,9,17,10,6
-5,1,12,3,-7,7,2,-10,0,-1
19,1,10,14,-1,26,14,-5,3.33333,5.5
14,1,5,2,-9,-13,-1,6,-30,8
-17,1,16,25,18,3,20,3,0,2.5
17,1,17,19,17,28,17,22,33.33333,12.5
28,-1,54,60,63,45,63,70,22.85714,22.5
59,1,82,84,92,90,87,89,66.66667,46
-8,-1,-1,20,18,-10,12,20,-33.33333,1
34,1,21,42,37,32,50,60,33.33333,23
4,1,14,6,11,9,4,18,0,9
