ID,SPREAD,H,MAT,SAG,BIL,COL,MAS,DUN,REC,LV
475,-7,-1,-6,-22,-18,10,-21,-30,0,-21.5
476,-20,-1,-106,-105,-65,-93,-96,-86,-100,-38.5
477,5,1,-58,-63,-63,-75,-66,-33,-75,-8.5
478,25,1,64,64,70,67,77,66,75,26
479,-6,1,-56,-38,-41,-56,-36,-48,-40,-8
480,28,-1,60,60,47,52,48,61,60,18
481,-9,-1,-12,-11,-17,-13,-20,-40,-26.66667,-7
482,-19,-1,-37,-44,-16,-55,-42,-10,-30,-4.5
483,3,1,36,55,57,29,54,39,25,19
484,-28,-1,-14,-5,18,-3,3,9,-5,1
485,-7,1,-19,-17,-13,-15,-12,-9,-20,-10.5
486,-7,-1,47,52,15,32,42,35,15,6.5
487,-5,1,44,44,36,45,44,26,60,27.5
488,-14,-1,-34,-16,-7,17,-8,-3,25,-3
489,20,1,55,43,53,61,41,33,50,7
490,-20,-1,4,5,-1,-13,11,-27,10,-4
491,17,1,17,15,6,2,14,1,0,5
492,31,1,32,19,16,16,13,38,25,21
493,3,-1,-9,-13,-8,-21,-12,-2,-20,-4
494,14,1,26,53,29,54,43,12,75,16
495,12,1,49,39,43,47,39,10,35,13
496,-25,1,-47,-48,-37,-45,-41,-44,-40,-1.5
497,34,-1,3,3,27,-8,2,21,-20,-3
498,19,1,12,-3,-13,7,-6,-9,0,4.5
499,1,-1,37,47,40,46,48,26,50,20.5
500,22,1,54,38,25,36,34,42,20,31
501,33,-1,16,9,-5,14,6,13,0,3
502,53,-1,50,59,50,36,50,44,16.66667,20
503,31,1,5,6,7,-5,8,4,0,8
504,-14,1,8,5,7,-17,2,20,-40,1
505,11,-1,29,17,35,26,18,46,20,0
506,10,-1,6,-4,-7,6,-5,-2,0,-8.5
507,31,1,-5,13,28,21,18,1,43.33333,13
508,-21,-1,-59,-64,-46,-54,-65,-67,-60,-32.5
509,-32,-1,-38,-27,-12,-36,-26,-32,-40,-9
510,-6,-1,-60,-55,-47,-42,-53,-24,-20,-12.5
511,34,1,-15,-5,23,8,-2,23,16.66667,4.5
512,58,1,16,37,32,36,39,15,26.66667,16
513,-7,-1,-4,4,-21,4,7,-19,0,0
